symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
ABB,2021-12-21,2021-12-30,2152.28,2185.92,1.56,TIME_EXIT
ABB,2022-06-23,2022-07-04,2245.64,2314.99,3.09,TIME_EXIT
ABB,2022-09-30,2022-10-03,3027.58,2935.82,-3.03,MOMENTUM_FADE
ABB,2023-08-24,2023-08-25,4258.43,4172.95,-2.01,MOMENTUM_FADE
ADANIENSOL,2024-03-14,2024-03-18,1054.55,1008.85,-4.33,STOP_LOSS
ADANIENSOL,2024-05-30,2024-06-03,1099.55,1221.95,11.13,TARGET_HIT
ADANIENT,2023-06-28,2023-07-07,2398.71,2377.49,-0.88,TIME_EXIT
ADANIENT,2025-10-01,2025-10-10,2592.7,2550.9,-1.61,TIME_EXIT
ADANIGREEN,2022-02-22,2022-02-24,1971.95,1849.75,-6.2,STOP_LOSS
ADANIGREEN,2022-08-30,2022-09-08,2436.2,2334.05,-4.19,STOP_LOSS
ADANIPOWER,2021-11-23,2021-11-26,21.19,20.25,-4.44,STOP_LOSS
ADANIPOWER,2022-09-19,2022-09-26,78.37,73.3,-6.47,STOP_LOSS
ADANIPOWER,2023-10-19,2023-10-20,68.89,67.66,-1.79,MOMENTUM_FADE
ADANIPOWER,2023-12-27,2024-01-04,104.49,111.71,6.91,PARTIAL_EXIT_50%
ADANIPOWER,2023-12-27,2024-01-05,104.49,110.22,5.48,TIME_EXIT_RUNNER
AMBUJACEM,2025-05-05,2025-05-08,539.43,522.49,-3.14,MOMENTUM_FADE
APOLLOHOSP,2022-12-12,2022-12-21,4696.77,4720.44,0.5,TIME_EXIT
APOLLOTYRE,2022-11-25,2022-11-28,281.8,300.54,6.65,PARTIAL_EXIT_50%
APOLLOTYRE,2022-11-25,2022-12-02,281.8,306.79,8.87,TARGET_HIT_RUNNER
APOLLOTYRE,2024-12-20,2024-12-31,522.68,520.17,-0.48,TIME_EXIT
ASHOKLEY,2025-07-31,2025-08-01,120.23,119.54,-0.58,MOMENTUM_FADE
ASIANPAINT,2025-07-16,2025-07-25,2406.74,2332.56,-3.08,STOP_LOSS
ASIANPAINT,2025-12-19,2025-12-26,2799.9,2746.5,-1.91,MOMENTUM_FADE
ASTRAL,2024-02-29,2024-03-11,2059.24,2090.99,1.54,TIME_EXIT
ASTRAL,2024-07-19,2024-07-23,2261.28,2225.89,-1.56,MOMENTUM_FADE
AUBANK,2022-01-25,2022-01-31,620.12,651.52,5.06,PARTIAL_EXIT_50%
AUBANK,2022-01-25,2022-02-01,620.12,670.15,8.07,TARGET_HIT_RUNNER
AUBANK,2025-02-07,2025-02-11,591.37,570.0,-3.61,MOMENTUM_FADE
AUBANK,2026-01-29,2026-02-02,987.9,965.2,-2.3,MOMENTUM_FADE
AXISBANK,2021-09-14,2021-09-23,791.1,808.77,2.23,TIME_EXIT
AXISBANK,2025-04-11,2025-04-16,1068.04,1160.31,8.64,TARGET_HIT
AXISBANK,2025-05-08,2025-05-19,1171.2,1201.77,2.61,TIME_EXIT
BAJAJ-AUTO,2025-09-25,2025-09-26,8842.5,8702.0,-1.59,MOMENTUM_FADE
BAJAJFINSV,2021-10-22,2021-10-29,1862.08,1778.55,-4.49,STOP_LOSS
BAJAJFINSV,2024-01-02,2024-01-11,1684.32,1667.39,-1.01,TIME_EXIT
BANDHANBNK,2025-05-14,2025-05-23,165.52,163.96,-0.94,TIME_EXIT
BANDHANBNK,2025-06-18,2025-06-27,179.11,183.93,2.69,TIME_EXIT
BANDHANBNK,2025-07-15,2025-07-24,178.52,182.48,2.22,TIME_EXIT
BANKINDIA,2022-08-11,2022-08-22,45.09,44.77,-0.71,TIME_EXIT
BANKINDIA,2023-09-01,2023-09-05,83.03,88.12,6.14,PARTIAL_EXIT_50%
BANKINDIA,2023-09-01,2023-09-11,83.03,93.22,12.27,TARGET_HIT_RUNNER
BHARTIARTL,2024-02-14,2024-02-23,1100.47,1110.23,0.89,TIME_EXIT
BHARTIARTL,2024-10-03,2024-10-14,1659.58,1681.54,1.32,TIME_EXIT
BHEL,2023-08-11,2023-08-18,102.75,97.71,-4.9,STOP_LOSS
BHEL,2023-12-26,2023-12-28,181.67,192.03,5.71,PARTIAL_EXIT_50%
BHEL,2023-12-26,2024-01-01,181.67,197.57,8.75,TARGET_HIT_RUNNER
BHEL,2024-05-31,2024-06-04,298.02,245.83,-17.51,STOP_LOSS
BHEL,2025-10-15,2025-10-24,235.8,230.94,-2.06,TIME_EXIT
BIOCON,2024-01-31,2024-02-05,267.67,283.88,6.05,PARTIAL_EXIT_50%
BIOCON,2024-01-31,2024-02-06,267.67,297.74,11.23,TARGET_HIT_RUNNER
BIOCON,2024-03-04,2024-03-13,278.14,252.16,-9.34,STOP_LOSS
BPCL,2022-08-30,2022-09-02,138.4,135.58,-2.04,MOMENTUM_FADE
BRITANNIA,2022-08-22,2022-08-24,3521.88,3505.31,-0.47,MOMENTUM_FADE
BRITANNIA,2024-01-11,2024-01-18,5005.11,4886.67,-2.37,MOMENTUM_FADE
BRITANNIA,2024-10-08,2024-10-10,6124.14,5924.51,-3.26,STOP_LOSS
BRITANNIA,2025-11-11,2025-11-13,5950.5,5851.5,-1.66,MOMENTUM_FADE
CANBK,2021-09-08,2021-09-16,27.58,29.16,5.71,PARTIAL_EXIT_50%
CANBK,2021-09-08,2021-09-17,27.58,28.46,3.17,TIME_EXIT_RUNNER
CANBK,2023-01-13,2023-01-24,58.69,57.89,-1.37,TIME_EXIT
CHOLAFIN,2021-10-26,2021-11-04,599.52,609.58,1.68,TIME_EXIT
CHOLAFIN,2023-08-02,2023-08-03,1095.29,1066.45,-2.63,MOMENTUM_FADE
CHOLAFIN,2024-05-31,2024-06-06,1237.85,1332.2,7.62,PARTIAL_EXIT_50%
CHOLAFIN,2024-05-31,2024-06-10,1237.85,1356.39,9.58,TARGET_HIT_RUNNER
CIPLA,2022-09-23,2022-10-03,1039.49,1100.47,5.87,PARTIAL_EXIT_50%
CIPLA,2022-09-23,2022-10-04,1039.49,1113.99,7.17,TIME_EXIT_RUNNER
